accession_id,cofactor_names,has_covalent,has_divalent
Q72IH6,"['Mg(2+)', '[4Fe-4S] cluster']",True,True
Q72IH7,[],False,False
Q72IH9,[],False,False
Q72II0,[],False,False
Q72IJ9,['Zn(2+)'],False,True
Q72IK9,[],False,False
Q72IP5,[],False,False
Q72IQ5,['FAD'],True,False
Q72IQ7,[],False,False
Q72IS8,['heme'],True,False
Q72IT2,['heme'],True,False
Q72IV5,['Zn(2+)'],False,True
Q72IW1,"['Co(2+)', 'Zn(2+)', 'NAD(+)']",True,True
Q72IW2,['Mg(2+)'],False,True
Q72IW3,['FMNH2'],True,False
Q72IX3,"['NH4(+)', 'K(+)']",True,False
Q72IZ1,[],False,False
Q72IZ2,[],False,False
Q72J23,['a divalent metal cation'],True,False
Q72J35,['Mg(2+)'],False,True
Q72J39,['[4Fe-4S] cluster'],True,False
Q72J48,['Zn(2+)'],False,True
Q72J91,['Fe(2+)'],False,True
Q72J92,[],False,False
Q72J95,['Mg(2+)'],False,True
Q72JA8,"['[2Fe-2S] cluster', 'Mg(2+)']",True,True
Q72JB3,['[4Fe-4S] cluster'],True,False
Q72JC9,['Mn(2+)'],False,True
Q72JE7,['a divalent metal cation'],True,False
Q72JE9,[],False,False
Q72JF9,['Mn(2+)'],False,True
Q72JG1,['[4Fe-4S] cluster'],True,False
Q72JG7,['Zn(2+)'],False,True
Q72JI7,['Mg(2+)'],False,True
Q72JJ8,['Mg(2+)'],False,True
Q72JK8,['Mn(2+)'],False,True
Q72JL7,[],False,False
Q72JM6,[],False,False
Q72JN8,"['Mg(2+)', 'Mn(2+)']",False,True
Q72JN9,['FAD'],True,False
Q72JP1,['[4Fe-4S] cluster'],True,False
Q72JP7,['FAD'],True,False
Q72JP8,[],False,False
Q72JP9,[],False,False
Q72JQ1,[],False,False
Q72JR0,['Zn(2+)'],False,True
Q72JR6,['Zn(2+)'],False,True
Q72JR7,[],False,False
Q72JR8,[],False,False
Q72JR9,['Zn(2+)'],False,True
Q72JS7,['Mg(2+)'],False,True
Q72JT0,[],False,False
Q72JT9,['Mg(2+)'],False,True
Q72JU3,[],False,False
Q72JU4,[],False,False
Q72JV2,[],False,False
Q72K16,[],False,False
Q72K27,[],False,False
Q72K37,[],False,False
Q72K55,[],False,False
Q72K85,['K(+)'],True,False
Q72K87,['Mg(2+)'],False,True
Q72K90,[],False,False
Q72K94,"[""pyridoxal 5'-phosphate""]",True,False
Q72KB4,[],False,False
Q72KC6,[],False,False
Q72KD9,[],False,False
Q72KE2,"['Mg(2+)', 'Mn(2+)']",False,True
Q72KF8,[],False,False
Q72KG1,[],False,False
Q72KH6,[],False,False
Q72KH8,['Zn(2+)'],False,True
Q72KL2,['[4Fe-4S] cluster'],True,False
Q72KL8,['Mg(2+)'],False,True
Q72KM5,['Zn(2+)'],False,True
Q72KN3,['[4Fe-4S] cluster'],True,False
Q72KN9,[],False,False
Q72KP6,['[4Fe-4S] cluster'],True,False
Q72KQ8,"['Mg(2+)', 'Mn(2+)']",False,True
Q72KQ9,[],False,False
Q72KR6,['[4Fe-4S] cluster'],True,False
Q72KS4,[],False,False
Q72KU0,[],False,False
Q72KU1,['Zn(2+)'],False,True
Q72KV2,[],False,False
Q72L12,"['Zn(2+)', 'methylcob(III)alamin']",True,True
Q72L14,[],False,False
Q72L15,[],False,False
Q72L16,[],False,False
Q72L22,['pyruvate'],True,False
Q72L31,[],False,False
Q72L32,[],False,False
Q72L53,[],False,False
Q72L59,['Mg(2+)'],False,True
Q72L62,['Zn(2+)'],False,True
Q72L85,[],False,False
Q72L90,['Mg(2+)'],False,True
Q72L91,[],False,False
Q72L95,[],False,False
Q72LC2,[],False,False
Q72LE2,"[""pyridoxal 5'-phosphate""]",True,False
Q72LH1,[],False,False
Q72LI2,[],False,False
Q72LI9,[],False,False
Q72LJ1,[],False,False
Q72LJ5,['K(+)'],True,False
Q72LK3,[],False,False
Q72LL0,[],False,False
Q72LM0,['Mg(2+)'],False,True
Q72LM3,['Zn(2+)'],False,True
Q746Q1,['Mg(2+)'],False,True
P16608,[],False,False
P54893,[],False,False
P61500,[],False,False
P61661,[],False,False
P61671,[],False,False
P61695,[],False,False
P61728,[],False,False
P61977,[],False,False
P61989,[],False,False
P62356,[],False,False
P62360,[],False,False
P62374,[],False,False
P62381,[],False,False
P62442,[],False,False
P62476,[],False,False
P62653,[],False,False
P62657,[],False,False
P62658,[],False,False
P62659,[],False,False
P62660,[],False,False
P62661,[],False,False
P62662,[],False,False
P62666,[],False,False
P62667,[],False,False
P62668,[],False,False
P62669,[],False,False
P96076,[],False,False
Q72G68,[],False,False
Q72G73,[],False,False
Q72G84,[],False,False
Q72G88,"[""pyridoxal 5'-phosphate""]",True,False
Q72GA0,[],False,False
Q72GA4,"[""pyridoxal 5'-phosphate""]",True,False
Q72GB9,[],False,False
Q72GC0,['Mg(2+)'],False,True
Q72GD0,[],False,False
Q72GD1,[],False,False
Q72GD3,"['FMN', '[4Fe-4S] cluster']",True,False
Q72GD4,"['[2Fe-2S] cluster', '[4Fe-4S] cluster']",True,False
Q72GE2,[],False,False
Q72GF2,"['Mg(2+)', 'thiamine diphosphate']",True,True
Q72GF4,['Mg(2+)'],False,True
Q72GF9,[],False,False
Q72GG0,[],False,False
Q72GH1,[],False,False
Q72GH4,[],False,False
Q72GI8,['Zn(2+)'],False,True
Q72GJ6,[],False,False
Q72GJ7,[],False,False
Q72GJ9,[],False,False
Q72GM4,[],False,False
Q72GM5,[],False,False
Q72GN3,[],False,False
Q72GN5,"[""pyridoxal 5'-phosphate""]",True,False
Q72GP6,['(R)-lipoate'],True,False
Q72GP7,"['Mg(2+)', 'thiamine diphosphate']",True,True
Q72GQ3,['Mg(2+)'],False,True
Q72GQ8,[],False,False
Q72GR8,[],False,False
Q72GS1,[],False,False
Q72GS2,[],False,False
Q72GS8,[],False,False
Q72GS9,[],False,False
Q72GU2,['thiamine diphosphate'],True,False
Q72GU4,['(R)-lipoate'],True,False
Q72GU5,['FAD'],True,False
Q72GV5,[],False,False
Q72GV7,[],False,False
Q72GW1,[],False,False
Q72GW3,['Zn(2+)'],False,True
Q72GW8,['Zn(2+)'],False,True
Q72GX2,[],False,False
Q72GX7,[],False,False
Q72GY3,['Zn(2+)'],False,True
Q72GY8,"['Ca(2+)', 'Mg(2+)', 'Mn(2+)', ""pyridoxal 5'-phosphate""]",True,True
Q72GY9,[],False,False
Q72GZ4,[],False,False
Q72GZ5,['FAD'],True,False
Q72GZ6,['(R)-lipoate'],True,False
Q72GZ7,['thiamine diphosphate'],True,False
Q72GZ9,[],False,False
Q72H17,[],False,False
Q72H23,['Cu cation'],True,False
Q72H31,[],False,False
Q72H32,[],False,False
Q72H33,['Fe(2+)'],False,True
Q72H39,['FAD'],True,False
Q72H43,[],False,False
Q72H55,['Mg(2+)'],False,True
Q72H58,[],False,False
Q72H59,"[""pyridoxal 5'-phosphate""]",True,False
Q72H71,[],False,False
Q72H75,[],False,False
Q72H76,[],False,False
Q72H84,"['K(+)', 'Mg(2+)']",True,True
Q72H86,[],False,False
Q72H88,['FAD'],True,False
Q72H89,[],False,False
Q72H95,['Mg(2+)'],False,True
Q72HA7,[],False,False
Q72HB8,[],False,False
Q72HD3,[],False,False
Q72HD8,['FAD'],True,False
Q72HE6,['Mg(2+)'],False,True
Q72HE7,[],False,False
Q72HE9,[],False,False
Q72HJ4,['Mg(2+)'],False,True
Q72HJ6,['Mg(2+)'],False,True
Q72HK2,['Mg(2+)'],False,True
Q72HK9,[],False,False
Q72HM0,[],False,False
Q72HM1,[],False,False
Q72HM2,[],False,False
Q72HM5,[],False,False
Q72HQ0,[],False,False
Q72HR0,['Mn(2+)'],False,True
Q72HR2,[],False,False
Q72HR3,[],False,False
Q72HR8,[],False,False
Q72HS4,[],False,False
Q72HU7,[],False,False
Q72HU9,[],False,False
Q72HV9,"[""pyridoxal 5'-phosphate""]",True,False
Q72HX4,[],False,False
Q72HX5,[],False,False
Q72I01,[],False,False
Q72I04,[],False,False
Q72I06,[],False,False
Q72I09,[],False,False
Q72I11,[],False,False
Q72I12,[],False,False
Q72I14,[],False,False
Q72I16,[],False,False
Q72I19,[],False,False
Q72I20,[],False,False
Q72I22,[],False,False
Q72I33,[],False,False
Q72I38,[],False,False
Q72I39,[],False,False
Q72I52,[],False,False
Q72I77,[],False,False
Q72I89,[],False,False
Q72I96,[],False,False
Q72I97,[],False,False
Q72I98,[],False,False
Q72IA7,[],False,False
Q72IB3,"[""pyridoxal 5'-phosphate""]",True,False
Q72IB9,[],False,False
Q72IC1,[],False,False
Q72IC9,[],False,False
Q72ID1,[],False,False
Q72ID5,[],False,False
Q72ID6,[],False,False
Q72ID8,[],False,False
Q72IE6,['Fe cation'],True,False
Q72IE7,[],False,False
Q72IG9,[],False,False
Q72IH1,[],False,False
Q72II1,[],False,False
Q72II3,[],False,False
Q72II9,[],False,False
Q72IJ6,['Mg(2+)'],False,True
Q72IK0,['Mn(2+)'],False,True
Q72IK5,[],False,False
Q72IK6,[],False,False
Q72IM6,[],False,False
Q72IN1,[],False,False
Q72IP2,['FAD'],True,False
Q72IP3,"['[2Fe-2S] cluster', '[3Fe-4S] cluster', '[4Fe-4S] cluster']",True,False
Q72IP7,[],False,False
Q72IQ1,['Mn(2+)'],False,True
Q72IQ9,['Mg(2+)'],False,True
Q72IR2,[],False,False
Q72IS0,[],False,False
Q72IV3,[],False,False
Q72IV6,[],False,False
Q72IY4,[],False,False
Q72IZ3,[],False,False
Q72J03,[],False,False
Q72J06,[],False,False
Q72J16,['Mg(2+)'],False,True
Q72J24,[],False,False
Q72J46,[],False,False
Q72J52,[],False,False
Q72J56,[],False,False
Q72J60,[],False,False
Q72J67,[],False,False
Q72J69,[],False,False
Q72J70,[],False,False
Q72J71,[],False,False
Q72J72,[],False,False
Q72J73,[],False,False
Q72J74,[],False,False
Q72J77,[],False,False
Q72J82,[],False,False
Q72J93,[],False,False
Q72JA0,[],False,False
Q72JB2,[],False,False
Q72JB4,[],False,False
Q72JC6,"['Mg(2+)', 'thiamine diphosphate']",True,True
Q72JC7,[],False,False
Q72JD1,[],False,False
Q72JF0,['Mg(2+)'],False,True
Q72JG4,"[""pyridoxal 5'-phosphate""]",True,False
Q72JH2,[],False,False
Q72JI0,"[""pyridoxal 5'-phosphate""]",True,False
Q72JL2,[],False,False
Q72JL3,[],False,False
Q72JL4,[],False,False
Q72JL6,[],False,False
Q72JP4,[],False,False
Q72JP5,[],False,False
Q72JQ8,[],False,False
Q72JR1,[],False,False
Q72JS0,[],False,False
Q72JS4,['Mg(2+)'],False,True
Q72JS5,[],False,False
Q72JS8,[],False,False
Q72JT2,[],False,False
Q72JU6,[],False,False
Q72JU7,[],False,False
Q72JU8,[],False,False
Q72JU9,[],False,False
Q72JV1,['[4Fe-4S] cluster'],True,False
Q72JX2,[],False,False
Q72JZ5,[],False,False
Q72JZ7,[],False,False
Q72JZ8,['[4Fe-4S] cluster'],True,False
Q72JZ9,['FAD'],True,False
Q72K32,[],False,False
Q72K49,['thiamine diphosphate'],True,False
Q72K73,[],False,False
Q72K74,[],False,False
Q72K76,[],False,False
Q72K80,['Mg(2+)'],False,True
Q72K83,"[""pyridoxal 5'-phosphate""]",True,False
Q72K86,[],False,False
Q72K93,[],False,False
Q72K98,[],False,False
Q72KA1,[],False,False
Q72KA9,[],False,False
Q72KB0,['Zn(2+)'],False,True
Q72KB2,[],False,False
Q72KB3,[],False,False
Q72KD2,[],False,False
Q72KD8,[],False,False
Q72KE0,[],False,False
Q72KE6,[],False,False
Q72KE8,[],False,False
Q72KF7,[],False,False
Q72KG3,[],False,False
Q72KG4,[],False,False
Q72KG9,[],False,False
Q72KJ5,[],False,False
Q72KL4,[],False,False
Q72KM2,[],False,False
Q72KM9,[],False,False
Q72KP4,[],False,False
Q72KR7,[],False,False
Q72KS8,[],False,False
Q72KT2,['FAD'],True,False
Q72KT9,[],False,False
Q72KV4,['[4Fe-4S] cluster'],True,False
Q72KV7,"[""pyridoxal 5'-phosphate""]",True,False
Q72KW6,[],False,False
Q72L00,[],False,False
Q72L05,['Mg(2+)'],False,True
Q72L08,[],False,False
Q72L13,[],False,False
Q72L20,[],False,False
Q72L33,['FAD'],True,False
Q72L37,[],False,False
Q72L50,"[""pyridoxal 5'-phosphate""]",True,False
Q72L58,[],False,False
Q72L65,[],False,False
Q72L68,"[""pyridoxal 5'-phosphate""]",True,False
Q72L69,[],False,False
Q72L73,[],False,False
Q72L76,[],False,False
Q72L77,[],False,False
Q72L79,[],False,False
Q72L87,[],False,False
Q72L89,[],False,False
Q72LA0,[],False,False
Q72LA9,[],False,False
Q72LB0,['(R)-lipoate'],True,False
Q72LB1,[],False,False
Q72LB5,"['Mg(2+)', 'Mn(2+)', 'Mn(2+)']",False,True
Q72LC1,[],False,False
Q72LC9,[],False,False
Q72LD2,['[4Fe-4S] cluster'],True,False
Q72LD6,[],False,False
Q72LE4,[],False,False
Q72LG3,['FAD'],True,False
Q72LH0,[],False,False
Q72LH2,"[""pyridoxal 5'-phosphate""]",True,False
Q72LI4,[],False,False
Q72LJ9,"[""pyridoxal 5'-phosphate""]",True,False
Q72LL1,[],False,False
Q72LL2,[],False,False
Q72LL3,[],False,False
Q72LL4,[],False,False
Q745X2,['Mg(2+)'],False,True
Q746B8,[],False,False
Q746F3,['a divalent metal cation'],True,False
Q746G0,[],False,False
Q746H1,[],False,False
Q746H2,[],False,False
Q746I4,['Zn(2+)'],False,True
Q746J7,[],False,False
Q746L1,[],False,False
Q746L7,[],False,False
Q746N0,[],False,False
Q746N1,[],False,False
Q746P7,[],False,False
Q9ACJ8,[],False,False
P62041,[],False,False
Q72G60,[],False,False
Q72G62,['Mg(2+)'],False,True
Q72G63,[],False,False
Q72G67,[],False,False
Q72G70,[],False,False
Q72G71,[],False,False
Q72G74,[],False,False
Q72G78,[],False,False
Q72G79,[],False,False
Q72G82,[],False,False
Q72G89,[],False,False
Q72G90,[],False,False
Q72G92,[],False,False
Q72G93,[],False,False
Q72G94,[],False,False
Q72G97,[],False,False
Q72G99,[],False,False
Q72GA1,[],False,False
Q72GA3,[],False,False
Q72GA8,[],False,False
Q72GB0,[],False,False
Q72GB2,[],False,False
Q72GB6,[],False,False
Q72GC1,[],False,False
Q72GC5,[],False,False
Q72GC6,[],False,False
Q72GD2,"['[2Fe-2S] cluster', '[2Fe-2S] cluster']",True,False
Q72GE3,[],False,False
Q72GE5,[],False,False
Q72GE7,[],False,False
Q72GE8,[],False,False
Q72GF3,[],False,False
Q72GF8,[],False,False
Q72GG1,[],False,False
Q72GG2,[],False,False
Q72GG9,[],False,False
Q72GH0,[],False,False
Q72GH2,[],False,False
Q72GH3,[],False,False
Q72GH6,"['Ca(2+)', 'Mn(2+)']",False,True
Q72GI0,[],False,False
Q72GI5,[],False,False
Q72GI6,[],False,False
Q72GI7,[],False,False
Q72GI9,[],False,False
Q72GJ0,[],False,False
Q72GJ1,[],False,False
Q72GJ2,[],False,False
Q72GJ3,[],False,False
Q72GJ5,[],False,False
Q72GK0,['Zn(2+)'],False,True
Q72GK4,[],False,False
Q72GL3,[],False,False
Q72GL4,['[4Fe-4S] cluster'],True,False
Q72GL5,[],False,False
Q72GL9,['FMN'],True,False
Q72GM0,[],False,False
Q72GM1,[],False,False
Q72GM6,[],False,False
Q72GN0,[],False,False
Q72GN7,[],False,False
Q72GN8,[],False,False
Q72GN9,"['[3Fe-4S] cluster', '[4Fe-4S] cluster']",True,False
Q72GP1,[],False,False
Q72GP3,[],False,False
Q72GQ1,[],False,False
Q72GQ4,[],False,False
Q72GR1,[],False,False
Q72GR2,[],False,False
Q72GS6,[],False,False
Q72GS7,[],False,False
Q72GT0,[],False,False
Q72GT5,[],False,False
Q72GT6,[],False,False
Q72GT9,[],False,False
Q72GU3,[],False,False
Q72GU9,[],False,False
Q72GW5,[],False,False
Q72GW6,[],False,False
Q72GY0,[],False,False
Q72GY4,[],False,False
Q72GY5,[],False,False
Q72GZ2,[],False,False
Q72GZ8,[],False,False
Q72H01,[],False,False
Q72H02,[],False,False
Q72H03,[],False,False
Q72H04,[],False,False
Q72H05,[],False,False
Q72H06,[],False,False
Q72H07,[],False,False
Q72H16,[],False,False
Q72H27,[],False,False
Q72H37,[],False,False
Q72H40,[],False,False
Q72H44,[],False,False
Q72H45,[],False,False
Q72H46,[],False,False
Q72H50,[],False,False
Q72H52,[],False,False
Q72H53,[],False,False
Q72H54,"[""pyridoxal 5'-phosphate""]",True,False
Q72H61,[],False,False
Q72H62,[],False,False
Q72H64,[],False,False
Q72H65,['Mg(2+)'],False,True
Q72H68,[],False,False
Q72H69,[],False,False
Q72H73,[],False,False
Q72H74,[],False,False
Q72H77,[],False,False
Q72H79,[],False,False
Q72H83,[],False,False
Q72H94,[],False,False
Q72H96,[],False,False
Q72HA2,[],False,False
Q72HA3,"['Mg(2+)', '[4Fe-4S] cluster', 'thiamine diphosphate']",True,True
Q72HA4,[],False,False
Q72HA6,[],False,False
Q72HA8,[],False,False
Q72HB0,[],False,False
Q72HB1,"['Mg(2+)', 'Mn(2+)']",False,True
Q72HB2,[],False,False
Q72HB4,[],False,False
Q72HC0,['FAD'],True,False
Q72HC2,[],False,False
Q72HC4,[],False,False
Q72HC5,[],False,False
Q72HC7,['[2Fe-2S] cluster'],True,False
Q72HD0,[],False,False
Q72HD6,[],False,False
Q72HD7,[],False,False
Q72HE1,['FAD'],True,False
Q72HE3,[],False,False
Q72HE4,[],False,False
Q72HE5,[],False,False
Q72HE8,[],False,False
Q72HF1,[],False,False
Q72HF5,[],False,False
Q72HF7,[],False,False
Q72HF8,"['Co(2+)', 'Mg(2+)', 'Zn(2+)']",False,True
Q72HG1,[],False,False
Q72HG7,[],False,False
Q72HG8,[],False,False
Q72HH2,[],False,False
Q72HH3,[],False,False
Q72HH4,[],False,False
Q72HH6,[],False,False
Q72HH7,[],False,False
Q72HI0,['FMN'],True,False
Q72HI5,[],False,False
Q72HI6,['Zn(2+)'],False,True
Q72HJ3,[],False,False
Q72HJ5,[],False,False
Q72HJ7,['[2Fe-2S] cluster'],True,False
Q72HJ8,[],False,False
Q72HJ9,[],False,False
Q72HK0,[],False,False
Q72HK3,['FAD'],True,False
Q72HK6,[],False,False
Q72HL3,[],False,False
Q72HL4,[],False,False
Q72HL5,[],False,False
Q72HL6,['Mg(2+)'],False,True
Q72HL8,[],False,False
Q72HL9,[],False,False
Q72HM4,[],False,False
Q72HM7,[],False,False
Q72HM8,[],False,False
Q72HM9,[],False,False
Q72HN0,[],False,False
Q72HN4,[],False,False
Q72HN5,[],False,False
Q72HN8,[],False,False
Q72HP0,[],False,False
Q72HP2,[],False,False
Q72HP7,[],False,False
Q72HQ1,[],False,False
Q72HQ6,[],False,False
Q72HQ7,[],False,False
Q72HQ8,[],False,False
Q72HQ9,[],False,False
Q72HR6,[],False,False
Q72HS1,[],False,False
Q72HS2,['Zn(2+)'],False,True
Q72HS3,[],False,False
Q72HS6,[],False,False
Q72HS9,[],False,False
Q72HU1,[],False,False
Q72HU6,[],False,False
Q72HU8,[],False,False
Q72HV2,[],False,False
Q72HV5,[],False,False
Q72HV6,[],False,False
Q72HV7,[],False,False
Q72HV8,[],False,False
Q72HW2,[],False,False
Q72HW3,[],False,False
Q72HW7,[],False,False
Q72HX6,[],False,False
Q72HX7,[],False,False
Q72HX8,[],False,False
Q72HY1,[],False,False
Q72HY3,[],False,False
Q72HZ1,[],False,False
Q72HZ2,[],False,False
Q72HZ7,[],False,False
Q72HZ8,[],False,False
Q72I34,[],False,False
Q72I37,[],False,False
Q72I40,[],False,False
Q72I41,['Mg(2+)'],False,True
Q72I44,[],False,False
Q72I47,['Mg(2+)'],False,True
Q72I48,[],False,False
Q72I49,[],False,False
Q72I51,[],False,False
Q72I56,[],False,False
Q72I57,[],False,False
Q72I59,[],False,False
Q72I60,[],False,False
Q72I61,[],False,False
Q72I66,[],False,False
Q72I68,[],False,False
Q72I71,[],False,False
Q72I72,[],False,False
Q72I73,['Zn(2+)'],False,True
Q72I74,[],False,False
Q72I76,"[""pyridoxal 5'-phosphate""]",True,False
Q72I78,['[4Fe-4S] cluster'],True,False
Q72I79,[],False,False
Q72I81,[],False,False
Q72I82,[],False,False
Q72I83,[],False,False
Q72I86,[],False,False
Q72I90,[],False,False
Q72I91,[],False,False
Q72I92,[],False,False
Q72I93,[],False,False
Q72I94,[],False,False
Q72I95,[],False,False
Q72IA0,[],False,False
Q72IA1,[],False,False
Q72IA3,[],False,False
Q72IA5,[],False,False
Q72IB5,[],False,False
Q72IB7,[],False,False
Q72IC0,[],False,False
Q72IC2,[],False,False
Q72IC3,[],False,False
Q72IC4,[],False,False
Q72IC7,[],False,False
Q72IC8,[],False,False
Q72ID4,[],False,False
Q72IE0,[],False,False
Q72IE3,[],False,False
Q72IE4,[],False,False
Q72IF1,[],False,False
Q72IF2,[],False,False
Q72IF3,[],False,False
Q72IG1,[],False,False
Q72IG4,['Zn(2+)'],False,True
Q72IG7,[],False,False
Q72IG8,[],False,False
Q72IH0,[],False,False
Q72IH8,[],False,False
Q72II2,[],False,False
Q72II5,[],False,False
Q72II6,[],False,False
Q72II7,[],False,False
Q72II8,[],False,False
Q72IJ4,[],False,False
Q72IJ8,[],False,False
Q72IK3,[],False,False
Q72IK7,[],False,False
Q72IK8,[],False,False
Q72IL0,[],False,False
Q72IL1,[],False,False
Q72IL2,[],False,False
Q72IL3,[],False,False
Q72IL4,[],False,False
Q72IL6,[],False,False
Q72IL7,[],False,False
Q72IL9,[],False,False
Q72IM3,[],False,False
Q72IM7,[],False,False
Q72IM9,[],False,False
Q72IN4,[],False,False
Q72IN5,[],False,False
Q72IN7,[],False,False
Q72IN9,['pyruvate'],True,False
Q72IP4,[],False,False
Q72IP6,[],False,False
Q72IP8,[],False,False
Q72IP9,[],False,False
Q72IQ0,[],False,False
Q72IQ8,[],False,False
Q72IR0,[],False,False
Q72IR3,[],False,False
Q72IR4,[],False,False
Q72IR6,[],False,False
Q72IR8,[],False,False
Q72IR9,['Mg(2+)'],False,True
Q72IS1,[],False,False
Q72IS2,[],False,False
Q72IS4,[],False,False
Q72IS6,[],False,False
Q72IS7,[],False,False
Q72IS9,[],False,False
Q72IT3,[],False,False
Q72IT4,[],False,False
Q72IT5,[],False,False
Q72IT6,['Mo-molybdopterin'],True,False
Q72IT7,[],False,False
Q72IV2,[],False,False
Q72IW4,[],False,False
Q72IW5,[],False,False
