proteinid,pI_x,packing_density,cofactor_names,has_covalent,has_divalent,Disorderfraction,sigpeptides100,validpeptides100,sigpeptides50,validpeptides50,fragile100,fragile50,fracperturbed100,fracperturbed50,cofactors
P62664,10.472840690612792,0.74,['Zn(2+)'],False,True,0.0,15,39,0.0,30.0,True,False,0.38461538461538464,0.0,divalent
P62665,10.051088523864744,0.756,[],False,False,0.0185185185185185,0,25,3.0,22.0,False,True,0.0,0.13636363636363635,neither
P83453,6.113397407531737,0.734,[],False,False,0.0069444444444444,1,19,0.0,14.0,False,False,0.05263157894736842,0.0,neither
P96136,6.064572715759277,0.726,[],False,False,0.0,2,15,0.0,13.0,True,False,0.13333333333333333,0.0,neither
P96137,5.73712329864502,0.732,[],False,False,0.0,3,7,4.0,7.0,True,True,0.42857142857142855,0.5714285714285714,neither
Q60050,9.128739356994632,0.734,[],False,False,0.0243243243243243,0,6,0.0,4.0,False,False,0.0,0.0,neither
Q72G65,6.8208723068237305,0.724,['[4Fe-4S] cluster'],True,False,0.0058823529411764,1,7,0.0,5.0,False,False,0.14285714285714285,0.0,covalent
Q72G66,9.476610755920412,0.742,['FMN'],True,False,0.0643274853801169,1,4,0.0,3.0,False,False,0.25,0.0,covalent
Q72G72,6.333421134948731,0.728,[],False,False,0.0,0,18,0.0,20.0,False,False,0.0,0.0,neither
Q72GB7,8.704666328430175,0.747,[],False,False,0.0424757281553398,0,24,1.0,24.0,False,False,0.0,0.041666666666666664,neither
Q72GC9,9.179347038269045,0.749,['[4Fe-4S] cluster'],True,False,0.005524861878453,0,4,0.0,5.0,False,False,0.0,0.0,covalent
Q72GD6,7.514251136779786,0.751,['[4Fe-4S] cluster'],True,False,0.0109890109890109,0,5,0.0,3.0,False,False,0.0,0.0,covalent
Q72GE4,6.977918434143067,0.728,['Mg(2+)'],False,True,0.0,3,14,0.0,12.0,True,False,0.21428571428571427,0.0,divalent
Q72GF0,6.308355140686037,0.732,"['Co(2+)', 'Fe(2+)', 'Mn(2+)', 'Zn(2+)', 'a divalent metal cation']",True,True,0.0,3,19,0.0,17.0,True,False,0.15789473684210525,0.0,both
Q72GH8,5.960273170471192,0.734,"[""pyridoxal 5'-phosphate""]",True,False,0.0345911949685534,5,37,0.0,30.0,True,False,0.13513513513513514,0.0,covalent
Q72GI4,5.965729713439941,0.746,[],False,False,0.0,5,20,0.0,17.0,True,False,0.25,0.0,neither
Q72GJ4,5.9040025711059565,0.721,[],False,False,0.0117647058823529,0,6,0.0,4.0,False,False,0.0,0.0,neither
Q72GL2,6.067130470275878,0.793,[],False,False,0.0,3,9,0.0,9.0,True,False,0.3333333333333333,0.0,neither
Q72GM3,5.814651679992676,0.735,['Zn(2+)'],False,True,0.0,1,53,0.0,35.0,False,False,0.018867924528301886,0.0,divalent
Q72GN2,6.939779472351074,0.736,[],False,False,0.0254545454545454,1,7,0.0,7.0,False,False,0.14285714285714285,0.0,neither
Q72GN6,8.815487480163576,0.772,['Zn(2+)'],False,True,0.0342857142857142,0,1,0.0,1.0,False,False,0.0,0.0,divalent
Q72GQ0,8.142502021789554,0.747,['Mg(2+)'],False,True,0.0,0,14,0.0,14.0,False,False,0.0,0.0,divalent
Q72GT2,5.479017448425293,0.747,['Mg(2+)'],False,True,0.0386740331491712,15,20,7.0,17.0,True,True,0.75,0.4117647058823529,divalent
Q72GT4,6.96899471282959,0.724,['Mg(2+)'],False,True,0.0,23,40,0.0,35.0,True,False,0.575,0.0,divalent
Q72GU1,5.500275230407714,0.737,"['thiamine diphosphate', 'Mg(2+)']",True,True,0.0081743869209809,0,10,0.0,8.0,False,False,0.0,0.0,both
Q72GV1,8.660698890686035,0.731,['[4Fe-4S] cluster'],True,False,0.0030959752321981,1,7,0.0,6.0,False,False,0.14285714285714285,0.0,covalent
Q72GV2,6.236794853210449,0.736,[],False,False,0.0138248847926267,0,8,1.0,8.0,False,False,0.0,0.125,neither
Q72GV9,9.416655158996583,0.744,[],False,False,0.0,4,40,1.0,34.0,True,False,0.1,0.029411764705882353,neither
Q72GW4,5.432011604309081,0.728,[],False,False,0.0,131,212,32.0,185.0,True,True,0.6179245283018868,0.17297297297297298,neither
Q72GW9,8.80420551300049,0.739,['Mn(2+)'],False,True,0.1180952380952381,2,47,0.0,44.0,True,False,0.0425531914893617,0.0,divalent
Q72GX1,8.609897804260257,0.741,[],False,False,0.0299727520435967,0,4,0.0,4.0,False,False,0.0,0.0,neither
Q72GX5,7.772413825988769,0.737,[],False,False,0.0,0,1,0.0,2.0,False,False,0.0,0.0,neither
Q72GY6,6.046668434143067,0.734,[],False,False,0.0,17,26,5.0,24.0,True,True,0.6538461538461539,0.20833333333333334,neither
Q72GY7,6.394977760314942,0.718,['Mn(2+)'],False,True,0.0094517958412098,0,49,0.0,46.0,False,False,0.0,0.0,divalent
Q72H19,8.812457466125487,0.73,['Zn(2+)'],False,True,0.0,0,12,0.0,11.0,False,False,0.0,0.0,divalent
Q72H36,5.511870384216308,0.731,['Mn(2+)'],False,True,0.0,2,31,1.0,25.0,True,False,0.06451612903225806,0.04,divalent
Q72H57,5.7240503311157225,0.739,['dipyrromethane'],True,False,0.0033222591362126,0,31,0.0,30.0,False,False,0.0,0.0,covalent
Q72H70,5.133663749694824,0.75,['a divalent metal cation'],True,False,0.0,1,13,0.0,12.0,False,False,0.07692307692307693,0.0,covalent
Q72H85,5.00100154876709,0.721,['Mg(2+)'],False,True,0.0,19,53,0.0,37.0,True,False,0.3584905660377358,0.0,divalent
Q72H87,6.199451637268066,0.746,[],False,False,0.0504587155963302,0,13,0.0,9.0,False,False,0.0,0.0,neither
Q72H91,9.571508216857907,0.766,[],False,False,0.0594795539033457,0,2,0.0,2.0,False,False,0.0,0.0,neither
Q72HA0,5.567970466613769,0.738,['Mg(2+)'],False,True,0.0025477707006369,0,47,0.0,33.0,False,False,0.0,0.0,divalent
Q72HA1,5.719048500061036,0.755,['Mg(2+)'],False,True,0.0,0,23,0.0,22.0,False,False,0.0,0.0,divalent
Q72HA9,6.039790916442871,0.736,[],False,False,0.0,0,6,0.0,7.0,False,False,0.0,0.0,neither
Q72HF4,5.600482368469237,0.717,[],False,False,0.0,3,58,0.0,55.0,True,False,0.05172413793103448,0.0,neither
Q72HF6,5.611224937438965,0.736,[],False,False,0.0508982035928143,2,17,0.0,11.0,True,False,0.11764705882352941,0.0,neither
Q72HH0,5.748434257507324,0.752,[],False,False,0.0144927536231884,2,13,0.0,8.0,True,False,0.15384615384615385,0.0,neither
Q72HH1,6.090320777893066,0.736,['Zn(2+)'],False,True,0.0,2,39,1.0,37.0,True,False,0.05128205128205128,0.02702702702702703,divalent
Q72HM6,6.013133430480956,0.739,"['Mg(2+)', 'Zn(2+)']",False,True,0.0164041994750656,0,108,0.0,110.0,False,False,0.0,0.0,divalent
Q72HP1,9.27714557647705,0.735,[],False,False,0.0344827586206896,1,6,0.0,6.0,False,False,0.16666666666666666,0.0,neither
Q72HP3,8.686744117736819,0.742,[],False,False,0.0,4,18,0.0,16.0,True,False,0.2222222222222222,0.0,neither
Q72HP8,6.972461891174317,0.74,['a divalent metal cation'],True,False,0.0,2,10,0.0,11.0,True,False,0.2,0.0,covalent
Q72HR4,5.882915306091308,0.748,['Mg(2+)'],False,True,0.0144230769230769,28,40,4.0,30.0,True,True,0.7,0.13333333333333333,divalent
Q72HS0,6.262258720397949,0.743,[],False,False,0.0,0,24,0.0,21.0,False,False,0.0,0.0,neither
Q72HS7,9.159361839294434,0.752,['Zn(2+)'],False,True,0.0350877192982456,1,2,1.0,2.0,False,False,0.5,0.5,divalent
Q72HS8,6.496435356140137,0.752,[],False,False,0.0064102564102564,0,1,0.0,2.0,False,False,0.0,0.0,neither
Q72HY0,5.776967430114746,0.747,['Fe-coproporphyrin III'],True,False,0.0040160642570281,0,11,0.0,10.0,False,False,0.0,0.0,covalent
Q72I05,10.07416820526123,0.755,[],False,False,0.0097560975609756,14,40,0.0,35.0,True,False,0.35,0.0,neither
Q72I07,11.091479301452637,0.749,[],False,False,0.0,12,43,0.0,37.0,True,False,0.27906976744186046,0.0,neither
Q72I15,10.128192710876462,0.767,[],False,False,0.009090909090909,7,7,0.0,8.0,True,False,1.0,0.0,neither
Q72I23,11.18063907623291,0.784,[],False,False,0.0,1,20,1.0,21.0,False,False,0.05,0.047619047619047616,neither
Q72I25,5.197493934631347,0.748,[],False,False,0.0,5,23,0.0,21.0,True,False,0.21739130434782608,0.0,neither
Q72I26,5.507777976989746,0.738,"['Co(2+)', 'Zn(2+)', 'Mn(2+)', 'Fe(2+)']",False,True,0.0235294117647058,0,6,0.0,4.0,False,False,0.0,0.0,divalent
Q72I32,4.949903297424315,0.754,[],False,False,0.0507936507936507,54,77,16.0,62.0,True,True,0.7012987012987013,0.25806451612903225,neither
Q72I50,6.597210884094238,0.755,[],False,False,0.0389784946236559,1,2,,,False,False,0.5,,neither
Q72I53,5.588716697692871,0.727,"['Mg(2+)', 'K(+)']",True,True,0.0,4,67,5.0,67.0,True,True,0.05970149253731343,0.07462686567164178,both
Q72I55,5.7616777420043945,0.724,"['Mg(2+)', ""pyridoxal 5'-phosphate""]",True,True,0.0047619047619047,0,46,0.0,42.0,False,False,0.0,0.0,both
Q72IA8,9.293327140808106,0.741,[],False,False,0.0,1,4,0.0,2.0,False,False,0.25,0.0,neither
Q72IA9,5.030159950256347,0.729,"['Mg(2+)', 'Mn(2+)']",False,True,0.0,9,39,0.0,34.0,True,False,0.23076923076923078,0.0,divalent
Q72IB0,5.865352058410643,0.736,"['Mg(2+)', 'Mn(2+)', 'Ca(2+)']",False,True,0.0328125,0,20,0.0,16.0,False,False,0.0,0.0,divalent
Q72IE5,5.785891151428221,0.73,[],False,False,0.0278330019880715,3,43,1.0,42.0,True,False,0.06976744186046512,0.023809523809523808,neither
Q72IE8,6.728224754333497,0.725,['Mg(2+)'],False,True,0.006514657980456,1,5,0.0,6.0,False,False,0.2,0.0,divalent
Q72IG0,6.32512264251709,0.721,"['Mg(2+)', 'Mn(2+)']",False,True,0.0,1,118,0.0,106.0,False,False,0.00847457627118644,0.0,divalent
Q72IG5,7.771163368225097,0.733,[],False,False,0.0449438202247191,0,2,0.0,1.0,False,False,0.0,0.0,neither
Q72IH2,6.624891471862793,0.733,"[""pyridoxal 5'-phosphate""]",True,False,0.0024570024570024,0,47,0.0,39.0,False,False,0.0,0.0,covalent
Q72IH6,6.742661857604981,0.721,"['Mg(2+)', '[4Fe-4S] cluster']",True,True,0.0151187904967602,1,12,0.0,12.0,False,False,0.08333333333333333,0.0,both
Q72IH7,5.318333625793457,0.716,[],False,False,0.0013793103448275,0,43,0.0,41.0,False,False,0.0,0.0,neither
Q72IH9,5.614010047912598,0.736,[],False,False,0.013215859030837,4,12,0.0,8.0,True,False,0.3333333333333333,0.0,neither
Q72II0,4.958827018737792,0.773,[],False,False,0.0,10,23,0.0,24.0,True,False,0.43478260869565216,0.0,neither
Q72IJ9,9.16374568939209,0.75,['Zn(2+)'],False,True,0.1486486486486486,0,1,0.0,2.0,False,False,0.0,0.0,divalent
Q72IK9,5.617022514343262,0.738,[],False,False,0.009367681498829,4,81,0.0,77.0,True,False,0.04938271604938271,0.0,neither
Q72IP5,5.868932914733886,0.734,[],False,False,0.0,1,18,0.0,17.0,False,False,0.05555555555555555,0.0,neither
Q72IQ5,6.2586778640747065,0.733,['FAD'],True,False,0.0180586907449209,0,40,0.0,36.0,False,False,0.0,0.0,covalent
Q72IQ7,6.513430213928221,0.73,[],False,False,0.0052521008403361,1,22,0.0,23.0,False,False,0.045454545454545456,0.0,neither
Q72IS8,7.6548139572143565,0.752,['heme'],True,False,0.0694980694980695,0,3,0.0,3.0,False,False,0.0,0.0,covalent
Q72IT2,6.480690956115722,0.753,['heme'],True,False,0.0075187969924812,1,7,0.0,6.0,False,False,0.14285714285714285,0.0,covalent
Q72IV5,5.933160972595215,0.744,['Zn(2+)'],False,True,0.0393700787401574,0,1,0.0,1.0,False,False,0.0,0.0,divalent
Q72IW1,9.095022392272949,0.722,"['Co(2+)', 'Zn(2+)', 'NAD(+)']",True,True,0.0057471264367816,0,8,0.0,6.0,False,False,0.0,0.0,both
Q72IW2,9.612381172180177,0.749,['Mg(2+)'],False,True,0.0108695652173913,1,1,,,False,False,1.0,,divalent
Q72IW3,7.839822959899903,0.741,['FMNH2'],True,False,0.0,0,4,0.0,5.0,False,False,0.0,0.0,covalent
Q72IX3,5.27121410369873,0.738,"['NH4(+)', 'K(+)']",True,False,0.0,1,23,0.0,24.0,False,False,0.043478260869565216,0.0,covalent
Q72IZ1,6.176659202575683,0.729,[],False,False,0.0099378881987577,6,23,3.0,23.0,True,True,0.2608695652173913,0.13043478260869565,neither
Q72IZ2,5.165266227722166,0.742,[],False,False,0.0335570469798657,0,6,0.0,5.0,False,False,0.0,0.0,neither
Q72J23,5.321459770202637,0.729,['a divalent metal cation'],True,False,0.0060975609756097,0,7,0.0,5.0,False,False,0.0,0.0,covalent
Q72J35,6.390316963195801,0.742,['Mg(2+)'],False,True,0.0,2,15,1.0,16.0,True,False,0.13333333333333333,0.0625,divalent
Q72J39,5.961239433288575,0.731,['[4Fe-4S] cluster'],True,False,0.0623655913978494,4,14,0.0,9.0,True,False,0.2857142857142857,0.0,covalent
Q72J48,6.120900154113768,0.731,['Zn(2+)'],False,True,0.0161812297734627,0,24,0.0,19.0,False,False,0.0,0.0,divalent
Q72J91,6.186264991760253,0.731,['Fe(2+)'],False,True,0.0,0,8,0.0,8.0,False,False,0.0,0.0,divalent
Q72J92,6.482680320739747,0.739,[],False,False,0.0481444332998996,1,2,0.0,1.0,False,False,0.5,0.0,neither
Q72J95,6.157504463195799,0.721,['Mg(2+)'],False,True,0.0046296296296296,6,40,0.0,42.0,True,False,0.15,0.0,divalent
Q72JA8,5.734167671203613,0.72,"['[2Fe-2S] cluster', 'Mg(2+)']",True,True,0.0,0,50,0.0,46.0,False,False,0.0,0.0,both
Q72JB3,6.382871055603027,0.731,['[4Fe-4S] cluster'],True,False,0.0042372881355932,1,37,0.0,30.0,False,False,0.02702702702702703,0.0,covalent
Q72JC9,5.710067939758301,0.741,['Mn(2+)'],False,True,0.0346153846153846,20,54,2.0,42.0,True,True,0.37037037037037035,0.047619047619047616,divalent
Q72JE7,6.85906810760498,0.738,['a divalent metal cation'],True,False,0.0160427807486631,0,3,0.0,3.0,False,False,0.0,0.0,covalent
Q72JE9,6.129880714416504,0.744,[],False,False,0.0272727272727272,0,13,0.0,13.0,False,False,0.0,0.0,neither
Q72JF9,5.839888191223144,0.735,['Mn(2+)'],False,True,0.0,3,4,0.0,4.0,True,False,0.75,0.0,divalent
Q72JG1,5.494705009460449,0.729,['[4Fe-4S] cluster'],True,False,0.0023041474654377,3,7,1.0,4.0,True,False,0.42857142857142855,0.25,covalent
Q72JG7,5.788107872009278,0.729,['Zn(2+)'],False,True,0.0,0,27,0.0,26.0,False,False,0.0,0.0,divalent
Q72JI7,6.0629243850708,0.733,['Mg(2+)'],False,True,0.0034782608695652,0,3,0.0,3.0,False,False,0.0,0.0,divalent
Q72JJ8,5.369545555114747,0.735,['Mg(2+)'],False,True,0.0042075736325385,6,32,1.0,27.0,True,False,0.1875,0.037037037037037035,divalent
Q72JK8,5.515792274475095,0.73,['Mn(2+)'],False,True,0.0,3,11,0.0,8.0,True,False,0.2727272727272727,0.0,divalent
Q72JL7,8.710919761657713,0.739,[],False,False,0.0106382978723404,0,18,0.0,16.0,False,False,0.0,0.0,neither
Q72JM6,6.275672721862793,0.736,[],False,False,0.003731343283582,1,26,0.0,25.0,False,False,0.038461538461538464,0.0,neither
Q72JN8,6.242933464050293,0.733,"['Mg(2+)', 'Mn(2+)']",False,True,0.0,1,4,0.0,4.0,False,False,0.25,0.0,divalent
Q72JN9,8.616344642639163,0.763,['FAD'],True,False,0.0185185185185185,0,5,0.0,6.0,False,False,0.0,0.0,covalent
Q72JP1,5.747638511657715,0.715,['[4Fe-4S] cluster'],True,False,0.0236842105263157,1,14,0.0,15.0,False,False,0.07142857142857142,0.0,covalent
Q72JP7,7.764399528503419,0.738,['FAD'],True,False,0.0,0,2,0.0,2.0,False,False,0.0,0.0,covalent
Q72JP8,7.061585426330566,0.728,[],False,False,0.0,0,12,0.0,9.0,False,False,0.0,0.0,neither
Q72JP9,10.27066783905029,0.734,[],False,False,0.0,0,1,1.0,1.0,False,False,0.0,1.0,neither
Q72JQ1,8.706278038024902,0.736,[],False,False,0.0095923261390887,0,11,0.0,9.0,False,False,0.0,0.0,neither
Q72JR0,9.234789848327637,0.808,['Zn(2+)'],False,True,0.0140845070422535,6,12,0.0,11.0,True,False,0.5,0.0,divalent
Q72JR6,5.866886711120604,0.726,['Zn(2+)'],False,True,0.0,2,22,0.0,19.0,True,False,0.09090909090909091,0.0,divalent
Q72JR7,5.5710966110229485,0.756,[],False,False,0.0,5,57,0.0,54.0,True,False,0.08771929824561403,0.0,neither
Q72JR8,7.8658037185668945,0.729,[],False,False,0.0234741784037558,7,35,4.0,25.0,True,True,0.2,0.16,neither
Q72JR9,8.965698814392091,0.741,['Zn(2+)'],False,True,0.0,0,3,0.0,2.0,False,False,0.0,0.0,divalent
Q72JS7,6.050931358337402,0.728,['Mg(2+)'],False,True,0.0,6,26,2.0,20.0,True,True,0.23076923076923078,0.1,divalent
Q72JT0,6.4659128189086905,0.737,[],False,False,0.0,0,8,0.0,8.0,False,False,0.0,0.0,neither
Q72JT9,5.874730491638183,0.741,['Mg(2+)'],False,True,0.0101626016260162,0,21,0.0,22.0,False,False,0.0,0.0,divalent
Q72JU3,6.956774330139161,0.744,[],False,False,0.019108280254777,0,5,0.0,4.0,False,False,0.0,0.0,neither
Q72JU4,9.838213920593262,0.74,[],False,False,0.0576036866359447,2,19,0.0,18.0,True,False,0.10526315789473684,0.0,neither
Q72JV2,5.298383140563964,0.735,[],False,False,0.0,41,67,4.0,53.0,True,True,0.6119402985074627,0.07547169811320754,neither
Q72K16,5.728654289245606,0.726,[],False,False,0.0044943820224719,2,12,1.0,9.0,True,False,0.16666666666666666,0.1111111111111111,neither
Q72K27,6.48881893157959,0.731,[],False,False,0.0100334448160535,12,12,11.0,12.0,True,True,1.0,0.9166666666666666,neither
Q72K37,5.838183021545409,0.739,[],False,False,0.0,13,13,12.0,12.0,True,True,1.0,1.0,neither
Q72K55,5.623956871032715,0.734,[],False,False,0.0,40,52,10.0,44.0,True,True,0.7692307692307693,0.22727272727272727,neither
Q72K85,5.1716321945190415,0.744,['K(+)'],True,False,0.0600461893764434,3,7,0.0,6.0,True,False,0.42857142857142855,0.0,covalent
Q72K87,9.4307092666626,0.749,['Mg(2+)'],False,True,0.0,2,5,0.0,5.0,True,False,0.4,0.0,divalent
